filename,language,lines_of_code,num_functions,num_comments,comment_ratio,avg_line_length,max_line_length,indentation_consistency,nesting_depth,cyclomatic_complexity,num_imports,num_loops,num_conditionals,num_exceptions,has_docstring,avg_tokens_per_line,keyword_density,blank_lines_ratio,avg_identifier_quality
PBJI_scraped-problems-edabit.com_[85] I'd Like a New Shade of Blue_ Please [VE].py,Python,0,0,47,0.9791666666666666,32.582089552238806,230,0.0,0,0.0,0,0,0,0,1,0.0,0.0,0.2686567164179104,0.0
dasx000_MD-BOTDAS_das.js,JavaScript,7724,112,156,0.0197944423296536,32.80911574764034,1108,0.0434782608695652,10,2.0089285714285716,44,41,638,17,0,3.2320041429311237,0.3284567581563956,0.0213611525086934,0.9139030612244898
THORCollective_HEARTH_app.js,JavaScript,927,32,54,0.054989816700611,40.888363292336805,536,0.0769230769230769,6,2.0,2,0,23,1,0,4.477885652642934,0.3387270765911542,0.0719016083254493,0.9207589285714286
exponentsoftware_fdoc-js-3-Wenodh_1.js,JavaScript,61,2,1,0.0158730158730158,28.19402985074627,75,0.1111111111111111,2,1.0,0,0,0,0,0,3.5081967213114753,0.1475409836065573,0.0746268656716417,1.0
curiouswala_tangiblepy_tpy,Unknown,71,0,0,0.0,24.849557522123895,106,0.3333333333333333,0,0.0,0,2,11,0,0,5.0,0.0,0.3716814159292035,0.0
atalia_leetcode_11.container-with-most-water.py,Python,12,1,7,0.35,22.916666666666668,76,0.0769230769230769,0,3.0,0,1,2,0,1,3.8333333333333335,0.5,0.125,1.0
kelson8_FlaskWeb_client.js,JavaScript,0,0,29,0.9666666666666668,38.390243902439025,104,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.2926829268292683,0.0
zipaJopa_patent-scraper_agent.py,Python,80,13,100,0.5524861878453039,37.3125,98,0.0769230769230769,0,1.7692307692307692,0,3,3,0,1,3.5375,0.3125,0.1383928571428571,0.935897435897436
iQeda_other-LeetCode_cells_with_odd_values_in_a_matrix.py,Python,18,1,17,0.4722222222222222,24.16,129,0.0769230769230769,0,9.0,1,6,0,0,1,4.5,1.1111111111111112,0.26,1.0
vishoov_noidaoffline_npm.js,JavaScript,30,3,34,0.5230769230769231,20.294736842105262,219,0.1111111111111111,3,1.3333333333333333,0,1,0,0,0,2.7333333333333334,0.5666666666666667,0.3263157894736842,0.6666666666666666
frwl404_runo_runo,Unknown,852,0,0,0.0,34.0133971291866,98,0.0588235294117647,0,0.0,0,18,85,8,0,4.480046948356808,0.0,0.184688995215311,0.0
sunil4587_As-select3_scripts.js,JavaScript,809,74,12,0.0145985401459854,30.244234800838573,144,0.0434782608695652,12,1.837837837837838,0,0,66,22,0,3.181705809641533,0.3980222496909765,0.1394129979035639,0.945945945945946
CzJLee_LeetCode_75.py,Python,15,1,2,0.1111111111111111,29.272727272727273,71,0.0769230769230769,0,4.0,0,1,3,0,1,3.533333333333333,0.4666666666666667,0.1363636363636363,1.0
PeSzpak_mm-geo-tech-experiments_demo.js,JavaScript,15,1,0,0.0,33.25,145,1.0,1,1.0,0,0,0,0,0,5.8,0.8,0.25,1.0
breezekiller789_LeetCode_217_Contains_Duplicate.py,Python,7,0,19,0.7037037037037037,22.82758620689655,65,0.2,0,0.0,0,1,1,0,0,4.571428571428571,0.7142857142857143,0.1034482758620689,0.0
public-transport_db-vendo-client_api.js,JavaScript,47,2,0,0.0,29.076923076923077,83,0.3333333333333333,3,2.5,9,0,1,0,0,4.1063829787234045,0.3404255319148936,0.0961538461538461,1.0
pturmel_lsdrv_lsdrv,Unknown,575,0,0,0.0,33.19402985074627,151,0.1666666666666666,0,0.0,0,15,116,32,0,5.24695652173913,0.0,0.0464344941956882,0.0
codeakki_My-Profile_Header.js,JavaScript,27,5,0,0.0,27.185185185185187,100,0.1428571428571428,2,1.0,2,0,0,0,0,3.3333333333333335,0.4444444444444444,0.0,0.6
jaredwebber_misc-challenges_design_hashset.py,Python,60,8,3,0.046875,25.135802469135804,47,0.0769230769230769,0,2.625,0,3,13,0,0,4.3,0.7166666666666667,0.2222222222222222,1.0
hassan-31x_dsa-practise_oct23.py,Python,31,2,2,0.0588235294117647,24.92105263157895,59,0.0769230769230769,0,5.5,0,3,6,0,0,4.032258064516129,0.8387096774193549,0.131578947368421,1.0
